Car Name,Location,Model,Mileage (km),Fuel (Diesel/Petrol/Hybrid),Engine Cacity,Price (lac),Manual,Automatic
Daihatsu Bego  2007 CL ,Islamabad,2007,316806,1,1500,21.25,0,1
Toyota Corolla Fielder  2016 2 G ,Islamabad,2016,65502,1,1500,44.9,0,1
Honda Insight  2010 G ,Karachi,2010,176302,2,1300,20,0,1
Mercedes Benz E   (W212)  2014 E63 AMG ,Islamabad,2014,58000,1,5500,2,0,1
Toyota Yaris  2022  X  1.5 ,Karachi,2022,3000,1,1500,41,0,1
Daihatsu Mira  2020 X ,Karachi,2020,70000,1,1800,37.8,0,1
Toyota Corolla  2022 Altis Grande X -i 1.8 Beige Interior ,Karachi,2022,1500,1,1800,59.5,0,1
KIA Sportage  2021  ,Lahore,2021,49721,1,2000,64.5,1,0
KIA Picanto  2022 1.0 AT ,Karachi,2022,5000,1,1000,27.65,0,1
Suzuki Alto  2022 R ,Karachi,2022,4100,1,660,20.5,0,1
Suzuki Alto  2022 L AGS ,Karachi,2022,4000,1,660,24.5,0,1
Toyota Corolla  2022 Altis X 1 1.6 ,Karachi,2022,3000,1,1600,47.75,0,1
Toyota Prado 120  2008 TX 2.7 ,Karachi,2008,175000,1,2700,79.5,0,1
Toyota Vitz  2019 F 1.0 ,Karachi,2019,8000,1,1000,42.75,0,1
Toyota Prius  2013  ,Karachi,2013,123000,1,1800,32.75,0,1
Toyota Corolla  2016 Altis Grande -i 1.8 ,Lahore,2016,74300,1,1800,36.5,0,1
Daihatsu Wake  2015  ,Charsadda,2015,65000,1,660,18.85,0,1
Suzuki Mehran  2015 R  II ,Haroonabad,2015,70000,1,796,8.4,0,1
Honda Vezel  2015 2 Z ,Karachi,2015,96000,2,1500,36,0,1
Toyota Prius  2010 G 1.8 ,Karachi,2010,145000,2,1800,28.5,0,1
Toyota Fortuner  2018 2.8  4 ,Islamabad,2018,104210,0,2800,1.1,0,1
Honda BR-V  2021 i- S ,Islamabad,2021,7806,1,1500,46,0,1
KIA Grand Carnival  2020 GLS ,Islamabad,2020,77066,1,3500,80,1,0
Daihatsu Cuore  2006 CX 1 ,Islamabad,2006,162679,1,800,7.8,0,1
Suzuki Alto  2020 X ,Islamabad,2020,14657,1,660,33,0,1
Suzuki Swift  2022 GL 0 ,Islamabad,2022,2500,1,1200,31.5,0,1
Honda City  2008 i-DSI ,Lahore,2008,123456,1,1300,15.85,0,1
Suzuki Alto  2019 R ,Sargodha,2019,46500,1,660,18.5,0,1
Honda City  2004 i-DSI ,Wah cantt,2004,200000,1,1300,11.6,0,1
Suzuki Wagon R  2015 FX ,Peshawar,2015,90000,1,660,19.5,0,1
Daihatsu Mira  2015 ES ,Islamabad,2015,66000,1,660,22.25,1,0
Suzuki Wagon R  2022 L ,Lahore,2022,17000,1,1000,24,0,1
Daihatsu Mira  2015 Custom L ,Karachi,2015,45000,1,660,20.5,0,1
Honda Vezel  2016 2 Z ,Lahore,2016,80000,2,1500,47.9,0,1
Toyota sso  2015 + Hana 1.0 ,Karachi,2015,61000,1,1000,25.5,0,1
Toyota Yaris Hatchback  2020  ,Karachi,2020,51000,1,1000,48.5,0,1
Toyota Vitz  2019 F Smile Edition 1.0 ,Karachi,2019,15000,1,1000,41.5,0,1
Changan Karvaan  2022 Plus ,Multan,2022,25000,1,1000,21.75,0,1
Toyota Yaris Hatchback  2020  ,Karachi,2020,44000,1,1000,48.5,1,0
Suzuki Swift  2022 GLX  ,Karachi,2022,1500,1,1000,38.5,1,0
Toyota Fortuner  2022 2.8  4 ,Karachi,2022,1000,0,2800,1.45,1,0
Toyota Corolla  2022 Altis X 1 1.6  ,Lahore,2022,5200,1,1600,55.7,1,0
Suzuki Alto  2022 R ,Karachi,2022,4100,1,660,20.5,0,1
Suzuki Alto  2022 L AGS ,Karachi,2022,4000,1,660,24.5,0,1
Toyota Corolla  2022 Altis X 1 1.6 ,Karachi,2022,3000,1,1600,47.75,1,0
Toyota Prado 120  2008 TX 2.7 ,Karachi,2008,175000,1,2700,79.5,0,1
Toyota Vitz  2019 F 1.0 ,Karachi,2019,8000,1,1000,42.75,0,1
Toyota Fortuner  2014 2.7 V ,Lahore,2014,76089,1,2700,65,0,1
Hyundai Santro  2004 Exec ,Lahore,2004,92000,1,1000,8.65,0,1
Honda City  2007 i-DSI ,Lahore,2007,97000,1,1300,16.7,0,1
Toyota Corolla  2018 Altis Grande -i 1.8 ,Karachi,2018,50200,1,1800,46,0,1
Suzuki Cultus  2018 R ,Karachi,2018,50000,1,1000,20.5,0,1
Toyota Corolla  2013 GLi 1.3 V ,Lahore,2013,174000,1,1300,22.75,1,0
Suzuki Wagon R  2022 L ,Sialkot,2022,5000,1,1000,26.5,0,1
Toyota Belta  2006  ,Karachi,2006,96606,1,1300,21,0,1
Honda Civic  2022 Oriel 1.8 i-  ,Islamabad,2022,1800,1,1800,59.7,0,1
Toyota Corolla  2015 Altis Grande -i 1.8 ,Karachi,2015,69000,1,1800,31.9,0,1
KIA Sportage  2020  ,Lahore,2020,41447,1,2000,59,1,0
Toyota Vitz  2005  ,Islamabad,2005,120000,1,1000,15.9,0,1
Suzuki Liana  2007  ,Lahore,2007,90000,1,1300,10.25,0,1
Honda City   2015 1.3 i- ,Lahore,2015,106879,1,1300,25,0,1
Suzuki Mehran  2016   II ,Multan,2016,206090,1,800,8.3,0,1
Toyota Corolla  2014 XLi V ,Islamabad,2014,86000,1,1300,26.6,0,1
Toyota Prius  2018 S Touring Selection ,Peshawar,2018,52000,2,1800,69,1,0
Toyota Corolla  1994 LX Limited 1.3 ,Sargodha,1994,200000,1,1300,14,1,0
United Bravo  2019  ,Lahore,2019,28400,1,800,7.45,0,1
Suzuki Cultus  2008 Ri ,Lahore,2008,113000,1,1000,8.2,1,0
Lexus RX   2010 450h ,Lahore,2010,105000,1,3500,72,1,0
Mitsubishi jero  1989 Exceed 2.5D ,Karachi,1989,220000,0,2500,9,1,0
Honda Civic  2002  Oriel 1.6 ,Islamabad,2002,150000,1,1600,14.2,0,1
Honda City   2012 1.3 i- ,Lahore,2012,98000,1,1300,18.5,0,1
Suzuki Wagon R  2015 FX Limited ,Peshawar,2015,90000,1,660,19.5,0,1
Suzuki Wagon R  2018 2 FZ ,Abbottabad,2018,35000,2,660,29,0,1
Toyota Corolla  2013 XLi V ,Islamabad,2013,179376,1,1300,23,0,1
Honda City   2017 Aspire 1.5 i- ,Islamabad,2017,126650,1,1500,28,1,0
Toyota Corolla  2017 XLi V ,Lahore,2017,70000,1,1300,28.25,1,0
Honda BR-V  2017 i- S ,Islamabad,2017,126668,1,1500,37,1,0
Toyota Prius  2010  ,Islamabad,2010,189535,1,1500,23.5,1,0
Suzuki Cultus  2016  ,Islamabad,2016,31304,1,1000,15.5,0,1
MG HS  2021 1.5 Turbo ,Islamabad,2021,26725,1,1500,60,1,0
Changan Karvaan  2021 Plus ,Islamabad,2021,45713,1,1000,22,1,0
Toyota Crown  2001 Royal Saloon G ,Islamabad,2001,89538,1,3000,32,1,0
Suzuki Cultus  2012  II (CNG) ,Islamabad,2012,70019,1,1000,12.8,0,1
Suzuki Wagon R  2021 L ,Islamabad,2021,33623,1,1000,24,1,0
Honda Vezel  2016 2 Z Honda   ,Islamabad,2016,164810,1,1500,43,1,0
Hyundai Tucson  2021  A/T Ultimate ,Lahore,2021,25000,1,2000,67.9,1,0
Toyota Vitz  2005  ,Islamabad,2005,120000,1,1000,15.9,0,1
Toyota Corolla 9th  2006 XLi ,Wah cantt,2006,78000,1,1300,18.7,0,1
Daihatsu Cast  2016 Style X SA III ,Rawalpindi,2016,94000,1,660,21.95,1,0
Mitsubishi Lancer  2006 GLX 1 1.6 ,Islamabad,2006,150000,1,1600,13.75,1,0
Honda City  2005 i-DSI ,Karachi,2005,40000,1,1300,11.5,1,0
Honda City  2008 i-DSI Vario ,Sargodha,2008,136000,1,1300,16.4,0,1
Toyota Corolla  2016 GLi 1.3 V ,Karachi,2016,70000,1,1300,27.15,0,1
Suzuki Cultus  2007 R ,Multan,2007,12345,1,1000,6.25,1,0
Honda City   2015 Aspire 1.3 i- ,Islamabad,2015,92000,1,1300,21.4,0,1
Toyota Corolla 9th  2007 Altis 1 1.8 ,Lahore,2007,141000,1,1800,18.95,1,0
Honda City  2001 EXi ,Karachi,2001,12345,1,1300,7,0,1
Suzuki Scia  2018 X ,Islamabad,2018,137000,2,660,17.25,1,0
Mazda Carol Eco  2014  ,Islamabad,2014,75000,1,660,19.2,1,0
Toyota Corolla Axio  2009 Luxel 1.8 ,Quetta,2009,140000,1,1800,29,0,1
Suzuki Mehran  2011  ,Faisalabad,2011,123456,1,800,6,0,1
Toyota Corolla  2010 Altis SR Cruisetronic 1.8 ,Sargodha,2010,150000,1,1800,25,0,1
Honda Civic Rebirth 2014  Oriel  1.8 i- ,Islamabad,2014,130000,1,1800,29.95,1,0
Suzuki Mehran  2013 R  II ,Peshawar,2013,12345,1,796,9.5,0,1
BMW 3   2017 318i ,Islamabad,2017,103451,1,1500,75,0,1
Honda Civic  2021 Oriel 1.8 i-  ,Islamabad,2021,36186,1,1800,57.9,1,0
Toyota Aqua  2014 L ,Islamabad,2014,181328,2,1500,29,0,1
Changan Alsvin  2021 1.5L DCT Lumiere ,Islamabad,2021,26743,1,1500,34,1,0
Honda Cross Road  2010 1.8 L X  ,Islamabad,2010,42569,1,1800,40,1,0
Toyota Harrier  2014 Elegance ,Islamabad,2014,172199,2,2000,1.05,1,0
Toyota Prius  2014 S LED Edition 1.8 ,Islamabad,2014,205014,1,1800,42,0,1
DFSK Glory 580  2021 Pro ,Islamabad,2021,7613,1,1500,52,1,0
Honda Civic  2006 MXST (2) ,Islamabad,2006,133889,1,1300,19.5,1,0
Suzuki Cultus  2016  ,Islamabad,2016,31304,1,1000,15.5,0,1
MG HS  2021 1.5 Turbo ,Islamabad,2021,26725,1,1500,60,0,1
Changan Karvaan  2021 Plus ,Islamabad,2021,45713,1,1000,22,0,1
Toyota Crown  2001 Royal Saloon G ,Islamabad,2001,89538,1,3000,32,1,0
Suzuki Cultus  2012  II (CNG) ,Islamabad,2012,70019,1,1000,12.8,0,1
Suzuki Wagon R  2021 L ,Islamabad,2021,33623,1,1000,24,0,1
Honda Vezel  2016 2 Z Honda   ,Islamabad,2016,164810,1,1500,43,1,0
Suzuki Wagon R  2019 L ,Islamabad,2019,70233,1,1000,20.5,0,1
Toyota Corolla  2018 Altis Grande -i 1.8 ,Islamabad,2018,46645,1,1800,46,0,1
Honda City  2020 1.3 i-  ,Islamabad,2020,36077,1,1300,35,0,1
Suzuki Alto  2021  ,Islamabad,2021,11045,1,660,20.5,0,1
MG HS  2021 1.5 Turbo ,Islamabad,2021,1994,1,1500,63,0,1
Toyota Yaris  2020 GLI MT 1.3 ,Islamabad,2020,41387,1,1300,31,0,1
Nissan Dayz Highway Star  2019  ,Islamabad,2019,37000,2,660,32.8,0,1
MG HS  2021 1.5 Turbo ,Islamabad,2021,10731,1,1500,71,0,1
Hyundai Sonata  2021 2.5 ,Islamabad,2021,3228,1,2500,84.5,0,1
Suzuki Jimny  2013 JLSX ,Islamabad,2013,60490,1,660,24,1,0
DFSK Glory 580  2021 Pro ,Islamabad,2021,7613,1,1500,52,0,1
Honda Civic  2006 MXST (2) ,Islamabad,2006,133889,1,1300,19.5,1,0
Honda City   2018 Aspire  1.5 i- ,Lahore,2018,44000,1,1500,33.2,0,1
Toyota Corolla  2021 Altis X 1 1.6 ,Karachi,2021,2041,1,1600,48,1,0
Suzuki Cultus  2019 1 Gear Shift ,Islamabad,2019,75546,1,1000,24.5,1,0
Suzuki Baleno  2004 JXR ,Lahore,2004,151000,1,1300,7.7,0,1
Honda Vezel  2019 2 Z ,Islamabad,2019,48310,2,1500,67,1,0
Honda Civic Reborn 2007  1.8 i- ,Islamabad,2007,241219,1,1800,15,0,1
Toyota Aqua  2014 G ,Islamabad,2014,134997,2,1500,31,0,1
Toyota Corolla Axio  2018 X 1.5 ,Islamabad,2018,90445,2,1500,52.9,0,1
Honda City   2017 1.3 i- ,Islamabad,2017,102015,1,1300,26.5,1,0
Daihatsu Move  2018 X ,Islamabad,2018,39791,1,660,29.5,0,1
Mercedes Benz E   (W211)  2004 E200 Avantgarde ,Islamabad,2004,46829,1,1800,31,1,0
Suzuki Mehran  2005 R ,Islamabad,2005,23222,1,800,5.9,0,1
Toyota Corolla  2012 XLi V ,Karachi,2012,75000,1,1300,18.4,0,1
Honda Civic Rebirth 2013   1.8 i- ,Multan,2013,150000,1,1800,25,0,1
Toyota Corolla  2012 GLi 1 1.6 V ,Lower Dir,2012,180000,1,1600,28.4,0,1
Suzuki Swift  2018 DLX 1 1.3 ,Karachi,2018,55000,1,1300,21.75,0,1
Suzuki Alto  2022 L AGS ,Islamabad,2022,6000,1,660,24.7,0,1
Suzuki Baleno  2005 JXL ,Islamabad,2005,275000,1,1300,7.5,0,1
Suzuki Khyber  1995  ,Attock,1995,90000,1,1000,5.1,0,1
Suzuki Margalla  1996 GL ,Sahiwal,1996,96059,1,1300,6,0,1
Suzuki Mehran  2017  ,Lahore,2017,72000,1,800,13.95,1,0
Honda City   2016 1.3 i- ,Islamabad,2016,82000,1,1300,25.95,0,1
Daihatsu Mira  2014 X ,Rawalpindi,2014,93800,1,660,20,1,0
KIA Sportage  2022  ,Islamabad,2022,5700,1,2000,71.5,0,1
Honda City  2002 EXi ,Islamabad,2002,228628,1,1300,8,0,1
Honda City  2022 1.5L  ,Islamabad,2022,3400,1,1500,41.5,1,0
KIA Sportage  2022  ,Islamabad,2022,5700,1,2000,71.5,0,1
Honda City  2002 EXi ,Islamabad,2002,228628,1,1300,8,0,1
Honda City  2022 1.5L  ,Islamabad,2022,3400,1,1500,41.5,1,0
Nissan Wingroad  2007 Rider 1.5 ,Islamabad,2007,169049,1,1500,21,1,0
Toyota Corolla Axio  2019 X 1.5 ,Islamabad,2019,74365,1,1500,56,0,1
Honda Vezel  2016 2 Z ,Islamabad,2016,49161,2,1500,52.5,0,1
Suzuki Cultus  2018 R ,Islamabad,2018,66533,1,1000,20.95,0,1
Honda BR-V  2020 i- S ,Islamabad,2020,34029,1,1500,43,0,1
Suzuki Swift  2022 GLX  ,Islamabad,2022,487,1,1200,40,1,0
Toyota Prius  2009 S LED Edition 1.8 ,Islamabad,2009,116261,2,1800,31.2,1,0
Toyota Corolla  2001 XE ,Islamabad,2001,35755,1,1300,11,1,0
Toyota Land Cruiser 100  2002  4.2D ,Islamabad,2002,231335,0,4200,80,1,0
Suzuki Cultus  2020 R ,Islamabad,2020,72247,1,1000,24.4,1,0
Suzuki Cultus  2022 1 Gear Shift ,Lahore,2022,3777,1,1000,32,0,1
Honda BR-V  2017 i- S ,Lahore,2017,63906,1,1500,34,0,1
Honda Civic Reborn 2009   1.8 i- ,Islamabad,2009,148676,1,1800,15.75,1,0
Mercedes Benz E   (W211)  2004 E200 ,Islamabad,2004,105144,1,1800,44,0,1
Toyota Corolla  2010 GLi 1.3 V ,Islamabad,2010,25102,1,1300,29,0,1
Suzuki Cultus  2020 R ,Islamabad,2020,72247,1,1000,24.4,1,0
Suzuki Cultus  2022 1 Gear Shift ,Lahore,2022,3777,1,1000,32,0,1
Honda BR-V  2017 i- S ,Lahore,2017,63906,1,1500,34,0,1
Honda Civic Reborn 2009   1.8 i- ,Islamabad,2009,148676,1,1800,15.75,0,1
Mercedes Benz E   (W211)  2004 E200 ,Islamabad,2004,105144,1,1800,44,0,1
Toyota Corolla  2010 GLi 1.3 V ,Islamabad,2010,25102,1,1300,29,1,0
Mitsubishi jero  2008 GR 3.2D ,Islamabad,2008,186673,0,3200,77,0,1
Toyota Prius Alpha  2015 G Touring ,Islamabad,2015,124286,1,1800,49.9,0,1
Honda Civic  2004 EXi ,Islamabad,2004,249143,1,1500,12.5,0,1
Honda City   2017 1.5 i-  ,Lahore,2017,129038,1,1500,30,1,0
Honda Aord  2020 1.5L  Turbo ,Lahore,2020,29110,1,1500,1.17,0,1
Honda Vezel  2014 2 Z ,Lahore,2014,57337,2,1500,53,1,0
Toyota Vitz  2019 F 1.0 ,Lahore,2019,35974,1,1000,36.5,0,1
KIA Sportage  2021  ,Lahore,2021,14188,1,2000,68,0,1
Toyota Corolla  2014 GLi 1.3 V ,Lahore,2014,60944,1,1300,26,0,1
Toyota Hilux  2007 D-4D 1 ,Lahore,2007,191289,0,3000,40,0,1
MG ZS  2022 1.5L ,Islamabad,2022,6100,1,1500,53,1,0
Toyota Prius  2010 G Touring Selection 1.8 ,Lahore,2010,147072,1,1800,34,1,0
Honda Civic Rebirth 2013 Oriel  UG ,Islamabad,2013,116268,1,1800,28,0,1
Changan Alsvin  2022 1.5L DCT Comfort ,Islamabad,2022,8392,1,1500,33.9,0,1
Toyota Prado  2002 TZ 3.4 ,Islamabad,2002,100484,1,3400,62,0,1
Honda City  2021 1.5L ASPIRE  ,Islamabad,2021,24993,1,1500,43.5,0,1
Toyota sso  2019 Moda G ,Islamabad,2019,39556,1,1000,32.9,1,0
Haval Jolion  2022 Top ,Islamabad,2022,3900,1,1500,77.7,0,1
Suzuki Cultus  2012  II ,Islamabad,2012,113357,1,1000,13.25,0,1
Hyundai Santro  2005 Exec ,Islamabad,2005,186385,1,1000,8.5,1,0
Honda Aord  2020 1.5L  Turbo ,Lahore,2020,29110,1,1500,1.17,0,1
Honda Vezel  2014 2 Z ,Lahore,2014,57337,2,1500,53,0,1
Toyota Vitz  2019 F 1.0 ,Lahore,2019,35974,1,1000,36.5,0,1
KIA Sportage  2021  ,Lahore,2021,14188,1,2000,68,0,1
Toyota Corolla  2014 GLi 1.3 V ,Lahore,2014,60944,1,1300,26,0,1
Toyota Hilux  2007 D-4D 1 ,Lahore,2007,191289,0,3000,40,1,0
MG ZS  2022 1.5L ,Islamabad,2022,6100,1,1500,53,0,1
Toyota Prius  2010 G Touring Selection 1.8 ,Lahore,2010,147072,1,1800,34,0,1
Honda Civic Rebirth 2013 Oriel  UG ,Islamabad,2013,116268,1,1800,28,0,1
Changan Alsvin  2022 1.5L DCT Comfort ,Islamabad,2022,8392,1,1500,33.9,0,1
Toyota Prado  2002 TZ 3.4 ,Islamabad,2002,100484,1,3400,62,0,1
Hyundai Santro  2005 Exec ,Islamabad,2005,186385,1,1000,8.5,0,1
Toyota Hilux  2021 Revo V 1 2.8 ,Islamabad,2021,22668,0,2800,1.1,0,1
Honda Vezel  2017 2 RS Honda   ,Islamabad,2017,94087,1,1500,53,0,1
KIA Picanto  2022 1.0 AT ,Islamabad,2022,4400,1,1000,29,0,1
Honda Civic  2019 Oriel 1.8 i-  ,Islamabad,2019,71747,1,1800,43,1,0
Toyota Yaris  2022   1.3 ,Islamabad,2022,2636,1,1300,41,1,0
Suzuki Cultus  2007 R (CNG) ,Islamabad,2007,28066,1,1000,8.3,0,1
Suzuki Cultus  2021 1 Gear Shift ,Islamabad,2021,25052,1,1000,26.5,0,1
Honda Civic  2020 1.8 i-  ,Islamabad,2020,46838,1,1800,49.5,0,1
Suzuki Mehran  2015 R  II ,Islamabad,2015,50997,1,796,10.5,0,1
Toyota Prado  2016 TX 2.7 ,Islamabad,2016,82426,1,2700,2,1,0
Toyota Corolla  2022 Altis 1 1.6 ,Islamabad,2022,7900,1,1600,51,0,1
Toyota C-HR  2019  ,Islamabad,2019,58621,2,1800,72,0,1
Toyota sso  2015 X L  ,Islamabad,2015,83388,1,1000,24.5,0,1
Suzuki Xbee  2019 MZ ,Islamabad,2019,14224,2,1000,40,0,1
Mercedes Benz C   2009 C200 ,Karachi,2009,111864,1,1800,38,0,1
Suzuki Cultus  2018 R ,Lahore,2018,109439,1,1000,19,0,1
Suzuki Wagon R  2022 AGS ,Lahore,2022,5816,1,1000,28,1,0
KIA Picanto  2021 1.0 AT ,Lahore,2021,10688,1,1000,27,0,1
Toyota Corolla  2013 XLi V ,Lahore,2013,98670,1,1300,21,0,1
Honda City   2017 Aspire 1.5 i- ,Lahore,2017,59989,1,1500,25,0,1
Honda City  2021 1.5L ASPIRE  ,Islamabad,2021,24993,1,1500,43.5,0,1
Toyota sso  2019 Moda G ,Islamabad,2019,39556,1,1000,32.9,0,1
Haval Jolion  2022 Top ,Islamabad,2022,3900,1,1500,77.7,1,0
Suzuki Cultus  2012  II ,Islamabad,2012,113357,1,1000,13.25,0,1
Hyundai Santro  2005 Exec ,Islamabad,2005,186385,1,1000,8.5,0,1
Toyota Hilux  2021 Revo V 1 2.8 ,Islamabad,2021,22668,0,2800,1.1,1,0
Honda Vezel  2017 2 RS Honda   ,Islamabad,2017,94087,1,1500,53,0,1
KIA Picanto  2022 1.0 AT ,Islamabad,2022,4400,1,1000,29,0,1
Honda Civic  2019 Oriel 1.8 i-  ,Islamabad,2019,71747,1,1800,43,0,1
Toyota Yaris  2022   1.3 ,Islamabad,2022,2636,1,1300,41,0,1
Suzuki Cultus  2007 R (CNG) ,Islamabad,2007,28066,1,1000,8.3,0,1
Suzuki Cultus  2021 1 Gear Shift ,Islamabad,2021,25052,1,1000,26.5,0,1
Honda City   2017 Aspire 1.5 i- ,Lahore,2017,59989,1,1500,25,1,0
BMW X1  2021 sDrive18i ,Lahore,2021,5532,1,1500,1.75,0,1
Suzuki Cultus  2013  II ,Lahore,2013,9729,1,1000,12.5,0,1
Suzuki Wagon R  2019 L ,Lahore,2019,52358,1,1000,21.5,1,0
Honda Civic Reborn 2008  Oriel  1.8 i- ,Lahore,2008,104129,1,1800,18,1,0
Toyota Fortuner  2022 Legender  ,Lahore,2022,7507,0,2800,1.45,0,1
Suzuki Alto  2022 R ,Lahore,2022,9848,1,660,21.4,0,1
Honda City   2013 Aspire 1.5 i- ,Lahore,2013,74896,1,1500,22.5,0,1
Suzuki Every  2010  ,Lahore,2010,53613,1,660,13.8,1,0
Honda City   2018 Aspire  1.5 i- ,Lahore,2018,256180,1,1500,30.7,1,0
Suzuki Cultus  2019 L ,Lahore,2019,75197,1,1000,25.5,0,1
Toyota Corolla  2016 Altis 1 1.6 ,Lahore,2016,145642,1,1600,31,0,1
Honda BR-V  2019 i- MT ,Lahore,2019,29270,1,1500,35.35,0,1
Honda Civic  2019 Oriel 1.8 i-  ,Lahore,2019,69848,1,1800,40.5,0,1
Chevrolet Joy  2009 1.0 ,Lahore,2009,217592,1,1000,8.5,0,1
Honda City   2017 1.5 i- ,Lahore,2017,107964,1,1500,23,1,0
Mercedes Benz E   (W212)  2010 E250 ,Lahore,2010,149071,1,2000,70,0,1
Honda Civic  2017 Oriel 1.8 i-  ,Lahore,2017,106536,1,1800,40,1,0
Toyota Corolla  2016 Altis 1 1.6 ,Lahore,2016,108197,1,1600,30.5,0,1
Honda Civic  2020 1.8 i-  ,Islamabad,2020,46838,1,1800,49.5,1,0
Suzuki Mehran  2015 R  II ,Islamabad,2015,50997,1,796,10.5,1,0
Toyota Prado  2016 TX 2.7 ,Islamabad,2016,82426,1,2700,2,0,1
Toyota Corolla  2022 Altis 1 1.6 ,Islamabad,2022,5900,1,1600,51,0,1
Toyota C-HR  2019  ,Islamabad,2019,58621,2,1800,72,1,0
Toyota sso  2015 X L  ,Islamabad,2015,83388,1,1000,24.5,1,0
Suzuki Xbee  2019 MZ ,Islamabad,2019,14224,2,1000,40,0,1
Mercedes Benz C   2009 C200 ,Karachi,2009,111864,1,1800,38,0,1
Suzuki Cultus  2018 R ,Lahore,2018,109439,1,1000,19,1,0
Suzuki Wagon R  2022 AGS ,Lahore,2022,5816,1,1000,28,0,1
KIA Picanto  2021 1.0 AT ,Lahore,2021,10688,1,1000,27,1,0
Toyota Prius  2013 G Touring Selection 1.8 ,Lahore,2013,142349,1,1800,41,0,1
Honda Vezel  2016 2 Z Honda   ,Lahore,2016,62083,1,1500,44,1,0
Toyota Raize  2021  ,Islamabad,2021,5152,1,1000,52,1,0
Honda Civic Reborn 2011   1.8 i- ,Islamabad,2011,70330,1,1800,22,0,1
Honda City  2021 1.2L M/T ,Lahore,2021,3961,1,1200,36,0,1
Toyota Prius Alpha  2017 S L Selection ,Islamabad,2017,127226,2,1800,59,0,1
Hyundai Sonata  2022 2.5 ,Islamabad,2022,14514,1,2500,79,0,1
Honda City  2021 1.2L M/T ,Islamabad,2021,11752,1,1200,35.5,1,0
Changan Alsvin  2021 1.5L DCT Lumiere ,Islamabad,2021,38338,1,1500,34,0,1
Toyota Raize  2020 Z ,Lahore,2020,21811,1,1000,49.5,0,1
Honda Civic  2003 EXi ,Lahore,2003,148111,1,1500,11.5,0,1
MG HS  2021 1.5 Turbo ,Lahore,2021,21818,1,1500,60,0,1
Suzuki Cultus  2021 L ,Lahore,2021,13357,1,1000,28.75,0,1
Suzuki Cultus  2017 L ,Lahore,2017,83156,1,1000,19.8,0,1
Toyota Corolla  2017 Altis 1 1.6 ,Lahore,2017,85459,1,1600,43.5,1,0
Suzuki Wagon R  2018 L ,Lahore,2018,85841,1,1000,18.8,0,1
Daihatsu Move  2012  ,Lahore,2012,94451,1,660,16.5,0,1
Toyota Yaris  2021 GLI MT 1.3 ,Lahore,2021,21689,1,1300,32,0,1
Honda City   2015 1.3 i-  ,Lahore,2015,184011,1,1300,24.5,0,1
MG ZS  2021 1.5L ,Lahore,2021,29977,1,1500,48.5,0,1
Suzuki Wagon R  2016 L ,Lahore,2016,145937,1,1000,15.95,0,1
KIA Picanto  2022 1.0 AT ,Lahore,2022,1141,1,1000,29.9,1,0
Suzuki Cultus  2014  II ,Lahore,2014,67701,1,1000,14,0,1
Honda City  2020 1.3 i- ,Lahore,2020,19443,1,1300,32.75,0,1
Toyota Corolla  2013 XLi V ,Lahore,2013,98670,1,1300,21,1,0
Honda City   2017 Aspire 1.5 i- ,Lahore,2017,59989,1,1500,25,0,1
BMW X1  2021 sDrive18i ,Lahore,2021,5532,1,1500,1.75,0,1
Suzuki Cultus  2013  II ,Lahore,2013,9729,1,1000,12.5,1,0
Suzuki Wagon R  2019 L ,Lahore,2019,52358,1,1000,21.5,0,1
Honda Civic Reborn 2008  Oriel  1.8 i- ,Lahore,2008,104129,1,1800,18,1,0
Toyota Fortuner  2022 Legender  ,Lahore,2022,7507,0,2800,1.45,1,0
Suzuki Alto  2022 R ,Lahore,2022,9848,1,660,21.4,0,1
Honda City   2013 Aspire 1.5 i- ,Lahore,2013,74896,1,1500,22.5,1,0
Suzuki Every  2010  ,Lahore,2010,53613,1,660,13.8,0,1
Honda City   2018 Aspire  1.5 i- ,Lahore,2018,256180,1,1500,30.7,1,0
Suzuki Cultus  2019 L ,Lahore,2019,75197,1,1000,25.5,0,1
Honda Fit  2015 1.5 2 Base Grade  ,Lahore,2015,133963,2,1500,27.5,0,1
Toyota Yaris  2021  X  1.5 ,Lahore,2021,16203,1,1500,43,1,0
Honda Civic Eagle Eye 2005 EXi ,Lahore,2005,226716,1,1500,11.75,0,1
Hyundai Elantra  2022 GLS ,Lahore,2022,7116,1,2000,57,1,0
Suzuki Cultus  2017 R ,Lahore,2017,124593,1,1000,19,1,0
Honda City   2016 Aspire  1.5 i- ,Lahore,2016,147085,1,1500,27,1,0
Honda City   2018 1.3 i-  ,Lahore,2018,51567,1,1300,31.75,1,0
KIA Sportage  2022  ,Lahore,2022,1600,1,2000,69,0,1
Suzuki Wagon R  2016 L ,Lahore,2016,91310,1,1000,16.9,1,0
Honda City  2021 1.5L ASPIRE  ,Lahore,2021,12649,1,1500,42.6,1,0
Suzuki Cultus  2018 L ,Lahore,2018,67126,1,1000,26,0,1
Honda Vezel  2016 2 RS Honda   ,Lahore,2016,53008,1,1500,59,0,1
Toyota Corolla  2015 Altis Grande -i 1.8 ,Lahore,2015,133923,1,1800,30,1,0
Suzuki Wagon R  2019 L ,Lahore,2019,65242,1,1000,20.1,1,0
